t,lat,lon,el
1687602151.000000,-12.772168,45.287791,21.792000
1687602152.000000,-12.772166,45.287794,21.789000
1687602153.000000,-12.772164,45.287796,21.786000
1687602154.000000,-12.772162,45.287799,21.789000
1687602155.000000,-12.772160,45.287802,21.794000
1687602156.000000,-12.772157,45.287805,21.796000
1687602157.000000,-12.772155,45.287808,21.796000
1687602158.000000,-12.772153,45.287810,21.801000
1687602159.000000,-12.772151,45.287813,21.797000
1687602160.000000,-12.772148,45.287816,21.801000
1687602161.000000,-12.772146,45.287818,21.790000
1687602162.000000,-12.772144,45.287821,21.800000
1687602163.000000,-12.772142,45.287823,21.792000
1687602164.000000,-12.772140,45.287826,21.791000
1687602165.000000,-12.772137,45.287828,21.799000
1687602166.000000,-12.772135,45.287831,21.797000
1687602167.000000,-12.772133,45.287833,21.791000
1687602168.000000,-12.772131,45.287836,21.792000
1687602169.000000,-12.772129,45.287838,21.791000
1687602170.000000,-12.772127,45.287841,21.808000
1687602171.000000,-12.772125,45.287844,21.805000
1687602172.000000,-12.772124,45.287846,21.812000
1687602173.000000,-12.772123,45.287849,21.808000
1687602174.000000,-12.772122,45.287853,21.818000
1687602175.000000,-12.772121,45.287856,21.806000
1687602176.000000,-12.772120,45.287860,21.813000
1687602177.000000,-12.772119,45.287864,21.805000
1687602178.000000,-12.772119,45.287868,21.812000
1687602179.000000,-12.772119,45.287872,21.818000
1687602180.000000,-12.772118,45.287876,21.810000
1687602181.000000,-12.772118,45.287880,21.802000
1687602182.000000,-12.772118,45.287884,21.805000
1687602183.000000,-12.772117,45.287888,21.805000
1687602184.000000,-12.772117,45.287892,21.799000
1687602185.000000,-12.772117,45.287896,21.796000
1687602186.000000,-12.772116,45.287900,21.794000
1687602187.000000,-12.772116,45.287904,21.802000
1687602188.000000,-12.772115,45.287907,21.798000
1687602189.000000,-12.772115,45.287911,21.793000
1687602190.000000,-12.772114,45.287915,21.797000
1687602191.000000,-12.772113,45.287919,21.798000
1687602192.000000,-12.772112,45.287922,21.804000
1687602193.000000,-12.772111,45.287925,21.788000
1687602194.000000,-12.772109,45.287927,21.797000
1687602195.000000,-12.772108,45.287930,21.790000
1687602196.000000,-12.772106,45.287933,21.801000
1687602197.000000,-12.772105,45.287936,21.795000
1687602198.000000,-12.772104,45.287939,21.809000
1687602199.000000,-12.772102,45.287941,21.807000
1687602200.000000,-12.772101,45.287944,21.796000
1687602201.000000,-12.772099,45.287946,21.795000
1687602202.000000,-12.772098,45.287949,21.804000
1687602203.000000,-12.772097,45.287952,21.796000
1687602204.000000,-12.772096,45.287956,21.792000
1687602205.000000,-12.772095,45.287959,21.798000
1687602206.000000,-12.772094,45.287962,21.789000
1687602207.000000,-12.772093,45.287966,21.800000
1687602208.000000,-12.772092,45.287970,21.797000
1687602209.000000,-12.772092,45.287973,21.811000
1687602210.000000,-12.772091,45.287977,21.803000
1687602211.000000,-12.772091,45.287981,21.803000
1687602212.000000,-12.772090,45.287985,21.798000
1687602213.000000,-12.772090,45.287988,21.796000
1687602214.000000,-12.772090,45.287991,21.800000
1687602215.000000,-12.772090,45.287995,21.779000
1687602216.000000,-12.772089,45.287998,21.793000
