t,d
1687686713.03369,1.900000
1687686713.03369,1.900000
1687686713.590821,1.870000
1687686713.590821,1.870000
1687686713.590821,1.870000
1687686714.149059,1.870000
1687686714.149059,1.870000
1687686714.149059,1.870000
1687686714.706198,1.870000
1687686714.706198,1.870000
1687686714.706198,1.870000
1687686715.264566,1.860000
1687686715.264566,1.860000
1687686715.264566,1.860000
1687686715.821681,1.880000
1687686715.821681,1.880000
1687686715.821681,1.880000
1687686716.379937,1.880000
1687686716.379937,1.880000
1687686716.379937,1.880000
1687686716.937025,1.890000
1687686716.937025,1.890000
1687686716.937025,1.890000
1687686717.49531,1.950000
1687686717.49531,1.950000
1687686717.49531,1.950000
1687686718.052453,1.860000
1687686718.052453,1.860000
1687686718.052453,1.860000
1687686718.610837,1.900000
1687686718.610837,1.900000
1687686718.610837,1.900000
1687686719.167775,1.870000
1687686719.167775,1.870000
1687686719.167775,1.870000
1687686719.726192,1.910000
1687686719.726192,1.910000
1687686719.726192,1.910000
1687686720.283281,1.860000
1687686720.283281,1.860000
1687686720.283281,1.860000
1687686720.841564,1.870000
1687686720.841564,1.870000
1687686720.841564,1.870000
1687686721.398726,1.870000
1687686721.398726,1.870000
1687686721.398726,1.870000
1687686721.95706,1.850000
1687686721.95706,1.850000
1687686721.95706,1.850000
1687686722.514181,1.850000
1687686722.514181,1.850000
1687686722.514181,1.850000
1687686723.072493,1.840000
1687686723.072493,1.840000
1687686723.072493,1.840000
1687686723.62956,1.830000
1687686723.62956,1.830000
1687686723.62956,1.830000
1687686724.187799,1.830000
1687686724.187799,1.830000
1687686724.187799,1.830000
1687686724.744939,1.850000
1687686724.744939,1.850000
1687686724.744939,1.850000
1687686725.303323,1.830000
1687686725.303323,1.830000
1687686725.303323,1.830000
1687686725.860283,1.820000
1687686725.860283,1.820000
1687686725.860283,1.820000
1687686726.418689,1.810000
1687686726.418689,1.810000
1687686726.418689,1.810000
1687686726.975775,1.830000
1687686726.975775,1.830000
1687686726.975775,1.830000
1687686727.534087,1.840000
1687686727.534087,1.840000
1687686727.534087,1.840000
1687686728.091192,1.800000
1687686728.091192,1.800000
1687686728.091192,1.800000
1687686728.64958,1.800000
1687686728.64958,1.800000
1687686728.64958,1.800000
1687686729.206529,1.830000
1687686729.206529,1.830000
1687686729.206529,1.830000
1687686729.764943,1.810000
1687686729.764943,1.810000
1687686729.764943,1.810000
1687686730.322033,1.820000
1687686730.322033,1.820000
1687686730.322033,1.820000
1687686730.880305,1.820000
1687686730.880305,1.820000
1687686730.880305,1.820000
1687686731.437416,1.830000
1687686731.437416,1.830000
1687686731.437416,1.830000
1687686731.995802,1.840000
1687686731.995802,1.840000
1687686731.995802,1.840000
1687686732.552801,1.870000
1687686732.552801,1.870000
1687686732.552801,1.870000
1687686733.111179,1.870000
1687686733.111179,1.870000
1687686733.111179,1.870000
1687686733.668343,1.870000
1687686733.668343,1.870000
1687686733.668343,1.870000
1687686734.226557,1.870000
1687686734.226557,1.870000
1687686734.226557,1.870000
1687686734.783692,1.820000
1687686734.783692,1.820000
1687686734.783692,1.820000
1687686735.34206,1.810000
1687686735.34206,1.810000
1687686735.34206,1.810000
1687686735.899067,1.810000
1687686735.899067,1.810000
1687686735.899067,1.810000
1687686736.45745,1.860000
1687686736.45745,1.860000
1687686736.45745,1.860000
1687686737.01457,1.830000
1687686737.01457,1.830000
1687686737.01457,1.830000
1687686737.572836,1.820000
1687686737.572836,1.820000
1687686737.572836,1.820000
1687686738.12994,1.790000
1687686738.12994,1.790000
1687686738.12994,1.790000
1687686738.68833,1.790000
1687686738.68833,1.790000
1687686738.68833,1.790000
1687686739.245322,1.790000
1687686739.245322,1.790000
1687686739.245322,1.790000
1687686739.80368,1.880000
1687686739.80368,1.880000
1687686739.80368,1.880000
1687686740.360805,1.790000
1687686740.360805,1.790000
1687686740.360805,1.790000
1687686740.919054,1.760000
1687686740.919054,1.760000
1687686740.919054,1.760000
1687686741.476154,1.790000
1687686741.476154,1.790000
1687686741.476154,1.790000
1687686742.034559,1.760000
1687686742.034559,1.760000
1687686742.034559,1.760000
1687686742.591563,1.800000
1687686742.591563,1.800000
1687686742.591563,1.800000
1687686743.149926,1.780000
1687686743.149926,1.780000
1687686743.149926,1.780000
1687686743.707094,1.780000
1687686743.707094,1.780000
1687686743.707094,1.780000
1687686744.265313,1.780000
1687686744.265313,1.780000
1687686744.265313,1.780000
1687686744.822494,1.770000
1687686744.822494,1.770000
1687686744.822494,1.770000
1687686745.380817,1.740000
1687686745.380817,1.740000
1687686745.380817,1.740000
1687686745.937796,1.730000
1687686745.937796,1.730000
1687686745.937796,1.730000
1687686746.496204,1.730000
1687686746.496204,1.730000
1687686746.496204,1.730000
1687686747.053284,1.700000
1687686747.053284,1.700000
1687686747.053284,1.700000
1687686747.611586,1.760000
1687686747.611586,1.760000
1687686747.611586,1.760000
1687686748.168698,1.730000
1687686748.168698,1.730000
1687686748.168698,1.730000
1687686748.727315,1.800000
1687686748.727315,1.800000
1687686748.727315,1.800000
1687686749.284457,1.750000
1687686749.284457,1.750000
1687686749.284457,1.750000
1687686749.842683,1.760000
1687686749.842683,1.760000
1687686749.842683,1.760000
1687686750.399817,1.750000
1687686750.399817,1.750000
1687686750.399817,1.750000
1687686750.958177,1.760000
1687686750.958177,1.760000
1687686750.958177,1.760000
1687686751.515201,1.800000
1687686751.515201,1.800000
1687686751.515201,1.800000
1687686752.073561,1.750000
1687686752.073561,1.750000
1687686752.073561,1.750000
1687686752.63075,1.740000
1687686752.63075,1.740000
1687686752.63075,1.740000
1687686753.188932,1.810000
1687686753.188932,1.810000
1687686753.188932,1.810000
1687686753.746099,1.750000
1687686753.746099,1.750000
